timestamp,side,mean_joint_error_rad,ee_pos_error_m,j1_orig,j2_orig,j3_orig,j4_orig,j5_orig,jg_orig,j1_sol,j2_sol,j3_sol,j4_sol,j5_sol,jg_sol
1772536790083561946,left,0.301320,0.031396,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0405,-1.4084,0.8180,0.0845,-0.0072,-0.0304
1772536790087656221,right,0.175065,0.020844,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0347,-1.3181,1.0648,0.2113,-0.0800,-0.0296
1772536790088097568,left,0.306757,0.032220,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0396,-1.3934,0.8026,0.0675,-0.0102,-0.0311
1772536790126049766,left,0.301877,0.031064,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4411,-0.0382,-1.4140,0.8199,0.0829,-0.0082,-0.0328
1772536790127929028,right,0.174599,0.020667,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0363,-1.3191,1.0654,0.2115,-0.0794,-0.0298
1772536790129654309,left,0.306570,0.032163,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0385,-1.3961,0.8030,0.0634,-0.0115,-0.0330
1772536790131496878,right,0.193612,0.023618,-0.0376,-1.1784,1.5604,-0.0506,-0.0760,0.2739,-0.0389,-1.3416,1.1354,0.2109,-0.0727,-0.0334
1772536790143126701,left,0.302516,0.030991,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0371,-1.4171,0.8207,0.0791,-0.0089,-0.0348
1772536790145019445,right,0.162662,0.017484,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0352,-1.3209,1.1103,0.1681,-0.0761,-0.0441
1772536790146701068,left,0.306502,0.032074,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0386,-1.3987,0.8039,0.0596,-0.0113,-0.0347
1772536790148701920,right,0.186532,0.021583,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0335,-1.3434,1.1708,0.1800,-0.0793,-0.0541
1772536790163320767,left,0.302384,0.030985,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0382,-1.4191,0.8212,0.0751,-0.0100,-0.0364
1772536790164950425,right,0.155085,0.015250,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0366,-1.3179,1.1478,0.1374,-0.0737,-0.0675
1772536790166520357,left,0.307176,0.031905,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0391,-1.4032,0.8044,0.0572,-0.0113,-0.0375
1772536790168285113,right,0.174900,0.019087,-0.0376,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0375,-1.3217,1.2163,0.1635,-0.0724,-0.0719
1772536790183365890,left,0.302915,0.030967,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4226,0.8209,0.0720,-0.0099,-0.0391
1772536790185178533,right,0.143238,0.013290,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0359,-1.2941,1.1915,0.1180,-0.0739,-0.0843
1772536790187007723,left,0.307789,0.031868,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4067,0.8039,0.0542,-0.0113,-0.0403
1772536790188996140,right,0.164437,0.017267,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0338,-1.3055,1.2565,0.1349,-0.0747,-0.0926
1772536790203414890,left,0.303486,0.030970,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4259,0.8204,0.0690,-0.0098,-0.0419
1772536790205203561,right,0.133444,0.011465,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0369,-1.2778,1.2301,0.0940,-0.0757,-0.1072
1772536790206880977,left,0.308402,0.031844,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4101,0.8035,0.0512,-0.0112,-0.0431
1772536790208841688,right,0.153896,0.015157,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0434,-1.2852,1.2986,0.1108,-0.0730,-0.1137
1772536790223348913,left,0.304077,0.030982,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4292,0.8199,0.0660,-0.0098,-0.0446
1772536790225246267,right,0.123214,0.009046,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0361,-1.2613,1.2751,0.0670,-0.0753,-0.1301
1772536790226704770,left,0.309014,0.031831,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4134,0.8030,0.0484,-0.0113,-0.0459
1772536790228502339,right,0.143974,0.012852,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0345,-1.2665,1.3405,0.0875,-0.0747,-0.1394
1772536790243136393,left,0.304680,0.031002,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4324,0.8194,0.0632,-0.0098,-0.0474
1772536790244885788,right,0.096545,0.005108,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0359,-1.2493,1.3536,-0.0083,-0.0790,-0.1378
1772536790246443549,left,0.309631,0.031827,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4166,0.8026,0.0456,-0.0113,-0.0487
1772536790248230559,right,0.125544,0.010909,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0336,-1.2773,1.3966,0.0099,-0.0760,-0.1551
1772536790263217127,left,0.305291,0.031029,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4355,0.8189,0.0604,-0.0098,-0.0502
1772536790265077338,right,0.083754,0.002928,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0398,-1.2106,1.3988,-0.0157,-0.0771,-0.1560
1772536790266691264,left,0.310256,0.031831,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4197,0.8021,0.0429,-0.0113,-0.0515
1772536790268537535,right,0.110553,0.006655,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0407,-1.2228,1.4534,0.0115,-0.0789,-0.1712
1772536790283369322,left,0.305909,0.031063,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4386,0.8184,0.0578,-0.0098,-0.0531
1772536790285255725,right,0.082089,0.001208,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0410,-1.2044,1.4234,-0.0294,-0.0815,-0.1841
1772536790287123314,left,0.310892,0.031844,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4227,0.8016,0.0403,-0.0113,-0.0543
1772536790289004744,right,0.097691,0.003864,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2739,-0.0395,-1.1979,1.4997,-0.0084,-0.0737,-0.1871
1772536790303479544,left,0.306533,0.031104,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4415,0.8179,0.0552,-0.0097,-0.0559
1772536790305579102,right,0.082468,0.001837,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0364,-1.1874,1.4537,-0.0468,-0.0795,-0.1923
1772536790307255102,left,0.311717,0.031883,-0.0391,-1.1193,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4252,0.8006,0.0373,-0.0113,-0.0572
1772536790309097646,right,0.085350,0.001907,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0389,-1.1968,1.5344,-0.0440,-0.0762,-0.1898
1772536790323317186,left,0.307190,0.031152,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4446,0.8174,0.0527,-0.0097,-0.0589
1772536790325003747,right,0.092386,0.002137,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0365,-1.1884,1.4779,-0.0779,-0.0763,-0.2016
1772536790326928094,left,0.312313,0.031910,-0.0391,-1.1208,1.4891,-0.3452,-0.0100,0.4358,-0.0391,-1.4291,0.8002,0.0350,-0.0099,-0.0607
1772536790328881537,right,0.090538,0.003059,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0380,-1.1700,1.5402,-0.0192,-0.0764,-0.2069
1772536790343508264,left,0.307555,0.031220,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4411,-0.0387,-1.4478,0.8166,0.0501,-0.0089,-0.0622
1772536790345170630,right,0.095264,0.004141,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0364,-1.1660,1.4797,-0.0570,-0.0774,-0.2149
1772536790346778375,left,0.312994,0.031938,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4318,0.7999,0.0328,-0.0111,-0.0634
1772536790348788737,right,0.094202,0.003070,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0427,-1.1689,1.5406,-0.0148,-0.0770,-0.2201
1772536790363349758,left,0.308555,0.031272,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4505,0.8163,0.0479,-0.0095,-0.0650
1772536790365395826,right,0.088883,0.001362,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0381,-1.1908,1.4588,-0.0566,-0.0778,-0.2262
1772536790367210352,left,0.313613,0.031974,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4346,0.7994,0.0305,-0.0113,-0.0663
1772536790369373139,right,0.097664,0.002992,-0.0376,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0379,-1.1820,1.5219,-0.0131,-0.0774,-0.2321
1772536790383979499,left,0.309224,0.031335,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0383,-1.4532,0.8158,0.0456,-0.0095,-0.0679
1772536790385589862,right,0.096601,0.004688,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0378,-1.1655,1.4690,-0.0505,-0.0800,-0.2387
1772536790387277684,left,0.314344,0.032028,-0.0391,-1.1208,1.4891,-0.3452,-0.0100,0.4358,-0.0392,-1.4376,0.7987,0.0282,-0.0101,-0.0696
1772536790389176897,right,0.091413,0.001237,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0390,-1.1824,1.5441,-0.0368,-0.0749,-0.2422
1772536790403760427,left,0.309847,0.031411,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0385,-1.4562,0.8151,0.0434,-0.0088,-0.0712
1772536790405328687,right,0.095049,0.001913,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0397,-1.1951,1.4692,-0.0693,-0.0774,-0.2447
1772536790406993791,left,0.314905,0.032024,-0.0391,-1.1193,1.4876,-0.3452,-0.0115,0.4358,-0.0394,-1.4391,0.7972,0.0251,-0.0111,-0.0726
1772536790408884164,right,0.099072,0.002753,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2739,-0.0405,-1.1797,1.5279,-0.0183,-0.0772,-0.2517
